종목,티커,업데이트시점,데이터검증상태,현재가검증,TP검증,EPS검증,검증경고,목표가,TP이전값,TP현재값,TP리비전변화율,TP리비전7일,TP리비전30일,EPS정의,EPS현재연도값,EPS다음연도값,EPS다음연도30일전,EPS다음연도90일전,EPS원기간현재연도종료일,EPS원기간다음연도종료일,EPS기간검증,EPS표시연도,EPS스코어사용여부,EPS직전수집값,EPS현재수집값,EPS수집간변화율,EPS리비전30일,EPS리비전90일,EPS리비전30일원자료,EPS리비전90일원자료,상향30일,하향30일,주가30일,주가90일,강등게이트,현재가소스,TP소스,EPS소스,상향하향소스,주가30일90일소스,강등게이트소스,원천데이터
대덕전자,353200,2026-09-15T00:00:48.391Z,warning,warning,verified,verified,currentPrice divergence 1.46%,176200,176200,176200,0,0,0,"Yahoo Finance quoteSummary: 0y=Current Year, +1y=Next Year. 달력연도는 기간 검증 통과 시에만 사용",4704.8,6286.44,5588.8,5204.8,2026-12-31,2027-12-31,ok,2027,사용,6286.44,6286.44,0,12.5,20.8,12.5,20.8,6,0,-18.6,,-31.1,"Yahoo Finance financialData.currentPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/353200.KS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance financialData.targetMeanPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/353200.KS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend.trend period=0y/+1y | https://query1.finance.yahoo.com/v10/finance/quoteSummary/353200.KS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend(+1y).epsRevisions | https://query1.finance.yahoo.com/v10/finance/quoteSummary/353200.KS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>",Yahoo Finance chart API → charts.json,계산값 = 주가30일 변화율 - 검증된 Next Year EPS 30일 리비전율,raw/revisions/2026-09-15/2026-09-15T00-00-48-113Z/353200.json
마벨,MRVL,2026-09-15T00:00:49.356Z,verified,verified,verified,verified,,285.3,285.3,285.3,0,0.1,10.9,"Yahoo Finance quoteSummary: 0y=Current Year, +1y=Next Year. 달력연도는 기간 검증 통과 시에만 사용",4.21,6.73,6.24,6.17,2027-01-31,2028-01-31,ok,2028,사용,6.73,6.73,0,7.9,9.1,7.9,9.1,33,1,-1.4,-21.5,-9.3,"Yahoo Finance financialData.currentPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/MRVL?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance financialData.targetMeanPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/MRVL?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend.trend period=0y/+1y | https://query1.finance.yahoo.com/v10/finance/quoteSummary/MRVL?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend(+1y).epsRevisions | https://query1.finance.yahoo.com/v10/finance/quoteSummary/MRVL?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>",Yahoo Finance chart API → charts.json,계산값 = 주가30일 변화율 - 검증된 Next Year EPS 30일 리비전율,raw/revisions/2026-09-15/2026-09-15T00-00-48-113Z/MRVL.json
삼성전자,005930,2026-09-15T00:00:49.933Z,verified,verified,verified,verified,,475850.1,475850.1,475850.1,0,0.8,0.8,"Yahoo Finance quoteSummary: 0y=Current Year, +1y=Next Year. 달력연도는 기간 검증 통과 시에만 사용",48246.15,70409.98,67312.48,57444.27,2026-12-31,2027-12-31,ok,2027,사용,70409.98,70409.98,0,4.6,22.6,4.6,22.6,6,5,-9.5,-27.6,-14.1,"Yahoo Finance financialData.currentPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/005930.KS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance financialData.targetMeanPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/005930.KS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend.trend period=0y/+1y | https://query1.finance.yahoo.com/v10/finance/quoteSummary/005930.KS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend(+1y).epsRevisions | https://query1.finance.yahoo.com/v10/finance/quoteSummary/005930.KS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>",Yahoo Finance chart API → charts.json,계산값 = 주가30일 변화율 - 검증된 Next Year EPS 30일 리비전율,raw/revisions/2026-09-15/2026-09-15T00-00-48-113Z/005930.json
마이크론,MU,2026-09-15T00:00:50.293Z,blocked,verified,verified,blocked,Yahoo annual period rollover stale: 0y ended 15d ago (2026-08-31),1513.11,1513.11,1513.11,0,0,0.7,"Yahoo Finance quoteSummary: 0y=Current Year, +1y=Next Year. 달력연도는 기간 검증 통과 시에만 사용",73.44,156.07,155.68,112.17,2026-08-31,2027-08-31,rollover-stale,,제외,156.07,156.07,0,,,0.2,39.1,,,-4.9,-9.5,,"Yahoo Finance financialData.currentPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/MU?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance financialData.targetMeanPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/MU?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend.trend period=0y/+1y | https://query1.finance.yahoo.com/v10/finance/quoteSummary/MU?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend(+1y).epsRevisions | https://query1.finance.yahoo.com/v10/finance/quoteSummary/MU?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>",Yahoo Finance chart API → charts.json,계산값 = 주가30일 변화율 - 검증된 Next Year EPS 30일 리비전율,raw/revisions/2026-09-15/2026-09-15T00-00-48-113Z/MU.json
루멘텀,LITE,2026-09-15T00:00:50.771Z,verified,verified,verified,verified,,1149.38,1149.38,1149.38,0,0.1,0.1,"Yahoo Finance quoteSummary: 0y=Current Year, +1y=Next Year. 달력연도는 기간 검증 통과 시에만 사용",21.67,39.7,32.74,28.28,2027-06-30,2028-06-30,ok,2028,사용,39.7,39.7,0,21.2,40.4,21.2,40.4,12,0,-9.8,-4.6,-31,"Yahoo Finance financialData.currentPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/LITE?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance financialData.targetMeanPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/LITE?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend.trend period=0y/+1y | https://query1.finance.yahoo.com/v10/finance/quoteSummary/LITE?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend(+1y).epsRevisions | https://query1.finance.yahoo.com/v10/finance/quoteSummary/LITE?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>",Yahoo Finance chart API → charts.json,계산값 = 주가30일 변화율 - 검증된 Next Year EPS 30일 리비전율,raw/revisions/2026-09-15/2026-09-15T00-00-48-113Z/LITE.json
CRDO,CRDO,2026-09-15T00:00:51.200Z,verified,verified,verified,verified,,281.47,281.47,281.47,0,0,,"Yahoo Finance quoteSummary: 0y=Current Year, +1y=Next Year. 달력연도는 기간 검증 통과 시에만 사용",6.3,9.67,9.08,8.69,2027-04-30,2028-04-30,ok,2028,사용,9.67,9.67,0,6.6,11.3,6.6,11.3,14,1,-42.3,-37.2,-48.9,"Yahoo Finance financialData.currentPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/CRDO?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance financialData.targetMeanPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/CRDO?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend.trend period=0y/+1y | https://query1.finance.yahoo.com/v10/finance/quoteSummary/CRDO?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend(+1y).epsRevisions | https://query1.finance.yahoo.com/v10/finance/quoteSummary/CRDO?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>",Yahoo Finance chart API → charts.json,계산값 = 주가30일 변화율 - 검증된 Next Year EPS 30일 리비전율,raw/revisions/2026-09-15/2026-09-15T00-00-48-113Z/CRDO.json
버티브,VRT,2026-09-15T00:00:51.572Z,verified,verified,verified,verified,,338.15,338.15,338.15,0,0,0,"Yahoo Finance quoteSummary: 0y=Current Year, +1y=Next Year. 달력연도는 기간 검증 통과 시에만 사용",6.73,9.12,9.1,8.85,2026-12-31,2027-12-31,ok,2027,사용,9.12,9.12,0,0.3,3.1,0.3,3.1,19,4,-19.2,-20.8,-19.5,"Yahoo Finance financialData.currentPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/VRT?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance financialData.targetMeanPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/VRT?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend.trend period=0y/+1y | https://query1.finance.yahoo.com/v10/finance/quoteSummary/VRT?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend(+1y).epsRevisions | https://query1.finance.yahoo.com/v10/finance/quoteSummary/VRT?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>",Yahoo Finance chart API → charts.json,계산값 = 주가30일 변화율 - 검증된 Next Year EPS 30일 리비전율,raw/revisions/2026-09-15/2026-09-15T00-00-48-113Z/VRT.json
블룸에너지,BE,2026-09-15T00:00:51.942Z,verified,verified,verified,verified,,276.05,276.05,276.05,0,0.4,0.4,"Yahoo Finance quoteSummary: 0y=Current Year, +1y=Next Year. 달력연도는 기간 검증 통과 시에만 사용",2.71,4.92,4.9,4.35,2026-12-31,2027-12-31,ok,2027,사용,4.92,4.92,0,0.5,13.1,0.5,13.1,19,4,11.8,-8.5,11.3,"Yahoo Finance financialData.currentPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/BE?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance financialData.targetMeanPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/BE?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend.trend period=0y/+1y | https://query1.finance.yahoo.com/v10/finance/quoteSummary/BE?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend(+1y).epsRevisions | https://query1.finance.yahoo.com/v10/finance/quoteSummary/BE?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>",Yahoo Finance chart API → charts.json,계산값 = 주가30일 변화율 - 검증된 Next Year EPS 30일 리비전율,raw/revisions/2026-09-15/2026-09-15T00-00-48-113Z/BE.json
AMD,AMD,2026-09-15T00:00:52.308Z,verified,verified,verified,verified,,615.07,615.07,615.07,0,-0.1,0.4,"Yahoo Finance quoteSummary: 0y=Current Year, +1y=Next Year. 달력연도는 기간 검증 통과 시에만 사용",7.56,15.51,15.33,13.1,2026-12-31,2027-12-31,ok,2027,사용,15.51,15.51,0,1.2,18.4,1.2,18.4,33,3,-4.1,-2.7,-5.3,"Yahoo Finance financialData.currentPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/AMD?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance financialData.targetMeanPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/AMD?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend.trend period=0y/+1y | https://query1.finance.yahoo.com/v10/finance/quoteSummary/AMD?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend(+1y).epsRevisions | https://query1.finance.yahoo.com/v10/finance/quoteSummary/AMD?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>",Yahoo Finance chart API → charts.json,계산값 = 주가30일 변화율 - 검증된 Next Year EPS 30일 리비전율,raw/revisions/2026-09-15/2026-09-15T00-00-48-113Z/AMD.json
램버스,RMBS,2026-09-15T00:00:52.765Z,미검증,미검증,미검증,미검증,,147.86,147.86,147.86,0,,,"Yahoo Finance quoteSummary: 0y=Current Year, +1y=Next Year. 달력연도는 기간 검증 통과 시에만 사용",3.04,3.72,3.7,3.65,2026-12-31,2027-12-31,미검증,,제외,3.72,3.72,0,,,0.7,2,,,,,,"Yahoo Finance financialData.currentPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/RMBS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance financialData.targetMeanPrice | https://query1.finance.yahoo.com/v10/finance/quoteSummary/RMBS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend.trend period=0y/+1y | https://query1.finance.yahoo.com/v10/finance/quoteSummary/RMBS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>","Yahoo Finance earningsTrend(+1y).epsRevisions | https://query1.finance.yahoo.com/v10/finance/quoteSummary/RMBS?modules=financialData,earningsTrend,recommendationTrend,upgradeDowngradeHistory&crumb=<redacted>",Yahoo Finance chart API → charts.json,계산값 = 주가30일 변화율 - 검증된 Next Year EPS 30일 리비전율,raw/revisions/2026-09-15/2026-09-15T00-00-48-113Z/RMBS.json
